CODIGO_CLIENTE,DIA_VENCIMENTO_FATURA,ESTADO_CIVIL,DATA_NASCIMENTO,DATA_ATIVACAO_LINHA,MEDIA_FATURA,VALOR_PLANO,SEXO,IDADE,FAIXA_ETARIA,TEMPO_RELACIONAMENTO_MESES,FAIXA_RELACIONAMENTO,REGIAO,UF,QUANTIDADE_LIGACAO,STATUS_VENDA
1147459446,21,NAO INFORMADO,1950-10-22,2018-03-15,49.99,49.99,M,68,6. 60 - 69,13,3. De 7 à 12 meses,NORTE,AM,12,0
1159369813,6,NAO INFORMADO,1974-07-10,2018-06-26,34.99,34.99,M,44,4. 40 - 49,10,3. De 7 à 12 meses,NORTE,PA,46,0
1147678987,17,NAO INFORMADO,1989-06-25,2018-03-17,64.99,64.99,M,29,3. 30 - 39,13,3. De 7 à 12 meses,CENTRO_OESTE,GO,24,0
1154860102,1,NAO INFORMADO,1994-02-08,2018-05-16,49.99,49.99,M,25,2. 25 - 29,11,3. De 7 à 12 meses,CENTRO_OESTE,GO,39,0
1149014964,6,NAO INFORMADO,1970-04-12,2018-03-29,35.99,35.99,F,49,4. 40 - 49,13,3. De 7 à 12 meses,CENTRO_OESTE,DF,25,0
1155089027,6,NAO INFORMADO,1984-11-23,2018-05-18,49.99,49.99,M,34,3. 30 - 39,11,3. De 7 à 12 meses,CENTRO_OESTE,GO,5,1
1148863225,17,NAO INFORMADO,1992-08-25,2018-03-28,49.99,49.99,M,26,2. 25 - 29,13,3. De 7 à 12 meses,NORTE,AM,6,1
1147447696,26,NAO INFORMADO,1978-10-29,2018-03-15,64.99,64.99,M,40,4. 40 - 49,13,3. De 7 à 12 meses,NORDESTE,BA,37,0
1159637454,6,NAO INFORMADO,1960-12-22,2018-06-28,49.99,49.99,M,58,5. 50 - 59,10,3. De 7 à 12 meses,CENTRO_OESTE,GO,3,0
1148279958,1,NAO INFORMADO,1976-05-08,2018-03-23,35.99,35.99,M,42,4. 40 - 49,13,3. De 7 à 12 meses,SUDESTE,MG,24,1
1148632324,21,NAO INFORMADO,1959-06-28,2018-03-26,35.99,35.99,M,59,6. 60 - 69,13,3. De 7 à 12 meses,NORDESTE,SE,16,1
1148004356,21,NAO INFORMADO,1991-05-03,2018-03-21,64.99,64.99,F,27,2. 25 - 29,13,3. De 7 à 12 meses,NORDESTE,BA,34,0
1153430695,26,NAO INFORMADO,1966-10-15,2018-05-07,35.99,35.99,M,52,5. 50 - 59,11,3. De 7 à 12 meses,NORTE,RO,9,1
1148629791,26,NAO INFORMADO,1968-06-29,2018-03-26,35.99,35.99,M,50,5. 50 - 59,13,3. De 7 à 12 meses,NORDESTE,BA,34,0
1157975407,26,NAO INFORMADO,1977-05-15,2018-06-13,59.99,59.99,M,41,4. 40 - 49,10,3. De 7 à 12 meses,NORTE,PA,43,0
